id,tag
34,sherlocknet:tag=govern
34,sherlocknet:tag=mine
34,sherlocknet:category=organism
34,wow
35,bldigital
35,date1892
35,pubplaceparis
35,publicdomain
35,sysnum001755713
35,huefernand
35,medium
35,vol0
35,page175
35,mechanicalcurator
35,imagesfrombook001755713
35,imagesfromvolume0017557130
35,sherlocknet:tag=habit
35,sherlocknet:tag=england
35,sherlocknet:tag=land
35,sherlocknet:tag=oblige
35,sherlocknet:tag=situate
35,sherlocknet:tag=camp
35,sherlocknet:tag=hand
35,sherlocknet:tag=fort
35,sherlocknet:tag=encore
35,sherlocknet:tag=serve
35,sherlocknet:tag=premier
35,sherlocknet:tag=history
35,sherlocknet:tag=experiment
35,sherlocknet:tag=whole
35,sherlocknet:tag=native
35,sherlocknet:category=organism
35,wow
36,bldigital
36,date1884
36,pubplacelondon
36,publicdomain
36,sysnum000687353
36,marstonanniewright
36,medium
36,vol0
36,page99
36,mechanicalcurator
36,imagesfrombook000687353
36,imagesfromvolume0006873530
36,illustration
36,engraving
36,china
36,chinese
36,girl
36,bound
36,feet
36,sherlocknet:tag=house
36,sherlocknet:tag=children
36,sherlocknet:tag=class
36,sherlocknet:tag=year
36,sherlocknet:tag=dress
36,sherlocknet:tag=office
36,sherlocknet:tag=rich
36,sherlocknet:tag=round
36,sherlocknet:tag=girl
36,sherlocknet:tag=open
36,sherlocknet:tag=lady
36,sherlocknet:tag=world
36,sherlocknet:tag=certain
36,sherlocknet:tag=whole
36,sherlocknet:tag=point
36,sherlocknet:category=organism
36,wow
37,bldigital
37,date1896
37,pubplacemagdeburg
37,publicdomain
37,sysnum001308646
37,françoishugovon
37,medium
37,vol0
37,page276
37,sherlocknet:tag=fort
37,sherlocknet:tag=thing
37,sherlocknet:tag=place
37,sherlocknet:tag=acth
37,sherlocknet:tag=whole
37,sherlocknet:tag=native
37,sherlocknet:tag=bastard
37,sherlocknet:tag=ava
